OpenFork Discoveries — 2026-08-12
共 300 个仓库（每日上限 300）
条件: 主流语言 · Star 1-20 · 90 天内更新 · 含 README 与许可证 · 非 fork · 非空仓库

1. https://github.com/americanexpress/babel-preset-amex | ✨ Standard babel preset for American Express | JavaScript | 20 stars | Apache-2.0
47. https://github.com/lastwall/whmcs-hetzner-cloud-automation | Free WHMCS provisioning module for Hetzner Cloud, allowing automated server creation, Power management, ISO image, Rebuild, Password reset and termination or Suspend directly from WHMCS. | JavaScript | 20 stars | NOASSERTION
48. https://github.com/NeteaseCloudMusicApiEnhanced/UnblockNeteaseMusic-utils | 网易云音乐受限歌曲解锁API || UnblockNeteaseMusic-utils api | JavaScript | 20 stars | MIT
49. https://github.com/Felix-au/Sonixx-Website-Audio-Routing-and-Soundbaord |  Official landing website for Sonixx, a native Windows virtual audio router that captures per-app live audio and mic streams into a virtual mic for Discord, OBS, and games. Built with React 19, Vite 8 and WebGL Canvas. | JavaScript | 20 stars | MIT
50. https://github.com/comunica/jQuery-Widget.js | 🖼 A jQuery widget to query heterogeneous interfaces using Comunica SPARQL | JavaScript | 20 stars | MIT
51. https://github.com/fvdm/nodejs-ns-api | Unofficial NodeJS module for Nederlandse Spoorwegen API | JavaScript | 20 stars | Unlicense
52. https://github.com/Google-Health-API/create-fitbit-app |  | JavaScript | 20 stars | MIT
53. https://github.com/Kappaemme-git/build-startup-brand | Build a distinctive startup brand identity with Codex and receive an openable visual report. | JavaScript | 20 stars | MIT
54. https://github.com/Orsso/flourish | Motion engine for the GNOME Shell's Dash. Full support for Dash to Dock & Ubuntu Dock. | JavaScript | 20 stars | GPL-2.0
55. https://github.com/WICG/install-element | An `<install>` element might be nice. | JavaScript | 20 stars | CC-BY-4.0
56. https://github.com/Eomm/why-don-t-you-tweet | Tweet your GitHub events! | JavaScript | 20 stars | MIT
57. https://github.com/siriushsu/taiwan-rail-live | 軌島——在真實地圖上動畫化全台鐵道：台鐵（含即時誤點）、高鐵、各捷運與輕軌依實際時刻表運行；可跟隨列車看待避交會、查平交道通過預測與附近火車班次。 | JavaScript | 20 stars | NOASSERTION
58. https://github.com/Grisha-Pochuev/finite-magma-e677-to-e255 | The Open Mathematics Project: reproducible research on the finite magma problem E677 -> E255 | JavaScript | 20 stars | MIT
59. https://github.com/Supergiovane/node-red-contrib-sia-ultimate | Connect your SIA-DCS compatible alarm system to node-red. It works with Ajax System too. | JavaScript | 20 stars | MIT
60. https://github.com/chenj-freedom/PixelType | A browser-based typing game for elementary school students, featuring both Chinese and English versions. Pure frontend—just open and play. | JavaScript | 20 stars | MIT
61. https://github.com/deusaw/Pebble-Wrist-AI |  | JavaScript | 20 stars | NOASSERTION
62. https://github.com/kotoba-rin/Lacan-Chinese-Translation-Project |  | JavaScript | 20 stars | CC-BY-4.0
63. https://github.com/IBM/node-sdk-core | The node-sdk-core repository contains core functionality required by code generated by the IBM OpenAPI SDK Generator.  | JavaScript | 20 stars | Apache-2.0
64. https://github.com/robertskmiles/firefox-claudemonkey | AI-authored Firefox userscripts: describe a change to the current site and a local Claude Code instance writes/edits the userscript. Fork of Violentmonkey. | JavaScript | 20 stars | MIT
65. https://github.com/XiaoDaiGua-Ray/vue3-next-qrcode | A QR Code component about vue3 that supports rich attributes such as LOGO GIF. Support SSR! | JavaScript | 20 stars | MIT
66. https://github.com/ChinmayKaitade/GitHub-Terminal-Stats-OpenSource | Create dynamic, terminal-style GitHub Stats for your Profile README! Automatically updates with GitHub Actions. | JavaScript | 20 stars | MIT
67. https://github.com/googleads/googleads-viewability-insights-extension | A DevTools extension for inspecting the viewability of Ad Manager Ads. | JavaScript | 20 stars | Apache-2.0
68. https://github.com/itsDigvijaysing/gnome-stage-manager | macOS Stage Manager for Linux. Group windows into stages: only one group is visible at a time, others appear as stacked thumbnail cards in a left sidebar. Click a card to swap stages. Supports per-app mode, workspace mode, bell-curve hover animations, and 3D perspective. | JavaScript | 20 stars | NOASSERTION
69. https://github.com/CLIuno/core | Cliuno is a CLI to make your journey in web development less painful. | JavaScript | 20 stars | AGPL-3.0
70. https://github.com/stefanbohacek/mastodon-tools | Making Mastodon easier to use. | JavaScript | 20 stars | MIT
71. https://github.com/fmacpro/horseman-article-parser | A web page article parser which returns an object containing the article's formatted text and other attributes including sentiment, keyphrases, people, places, organisations, spelling suggestions, in-article links, meta data & lighthouse audit results. | JavaScript | 20 stars | GPL-3.0
72. https://github.com/yama-dev/js-scroll-effect-module | [v0.13.6] Add effect at scroll. | JavaScript | 20 stars | MIT
73. https://github.com/rickyfont94/climate-cluster-card | Wide-arc instrument-cluster climate (HVAC) card for Home Assistant: a two-ring temp/fan dial with a mode pop-up, swing/LED/sound toggles, and a full GUI editor. | JavaScript | 20 stars | MIT
74. https://github.com/biodatlab/biodatlab.github.io | Website for Biomedical and Data (Bio-Dat) lab at Mahidol University, Thailand | JavaScript | 20 stars | MIT
75. https://github.com/qwerfd2/buried-city | Code repo for modded Buried Town | JavaScript | 20 stars | NOASSERTION
76. https://github.com/eroxmerox/AmbientGlass | Premium glassmorphism theme for Spicetify with atmospheric glows, floating UI elements, and Apple-style aesthetics. | JavaScript | 20 stars | MIT
77. https://github.com/newrelic/nr1-github | NR1 Github allows you to create more context to your entities by having access to the GitHub repository, contributors and README. | JavaScript | 20 stars | Apache-2.0
78. https://github.com/pengutronix/flamingo | python3-based, pelican-inspired static site generator | JavaScript | 20 stars | Apache-2.0
79. https://github.com/logimaxx/zbxwizz | ZbxWizz is a data-driven tool that simplifies and automates Zabbix configuration workflows. It lets administrators and DevOps engineers perform bulk operations—such as onboarding hosts, updating tags, or generating reports—through an intuitive spreadsheet-like interface powered by JavaScript transformations and Zabbix API integration. | JavaScript | 20 stars | MIT
80. https://github.com/putoutjs/printer | Easiest possible opinionated Babel AST printer | JavaScript | 20 stars | MIT
81. https://github.com/Yanel85/IP-Location-Finder | A Chrome extension that identifies the geographic location of IP addresses on a webpage. | JavaScript | 20 stars | GPL-3.0
82. https://github.com/birdofpreyru/babel-preset-svgr | Babel preset for SVG importing into React apps using Babel & SVGR | JavaScript | 20 stars | NOASSERTION
83. https://github.com/axelarnetwork/axelar-contract-deployments | Contract deployment scripts and resources for Axelar | JavaScript | 20 stars | MIT
84. https://github.com/kgstorm/home-assistant-calorie-tracker | Calorie and weight tracker with Voice Assist support. | JavaScript | 20 stars | MIT
85. https://github.com/Darkstarrd-dev/tinyrouter | Lightweight Utilities bundled local based API router 、 AI Chat 、Image Generation、 Stream Vedio Download Manager、 Image Viewer、 Video Player ....... with extremely tiny size | JavaScript | 20 stars | NOASSERTION
86. https://github.com/ariya/chat-llm | Chat with an LLM | JavaScript | 20 stars | MIT
87. https://github.com/kaermorchen/ember-photoswipe | An Ember addon for using Photoswipe in Ember applications. | JavaScript | 20 stars | MIT
88. https://github.com/rticommunity/rticonnextdds-connector-js | RTI Connector for Connext DDS is a lightweight technology that enables DDS data to be accessed with JavaScript. | JavaScript | 20 stars | NOASSERTION
89. https://github.com/italia/design-comuni-plone-theme | Tema Plone per i siti dei comuni italiani | JavaScript | 20 stars | GPL-3.0
90. https://github.com/yunusemre-dev/yunusemre.dev | A minimal personal website with an AI clone, live operator chat, work history, and a visual life dump. | JavaScript | 20 stars | MIT
91. https://github.com/e404-tagnet/IOS-Widgets | IOS WIDGETS: fully customisable on color and themes, built with the scriptable app, zero cost and great for beginners! | JavaScript | 20 stars | GPL-3.0
92. https://github.com/ruvnet/CVE-bench | CVE-bench — conformant reproduce-and-fix security benchmark from public CVEs + OSS fix-PRs/tests. Apply-patch -> run the security test (FAIL->PASS). Cost-Pareto leaderboard, PR-based submissions, nightly CI. | JavaScript | 20 stars | MIT
93. https://github.com/unb-mds/2025-1-NoFluxoUNB | Fluxograma interativo com chat-bot que auxilia na escolha e visualização da sua estrutura curricular da UnB. | JavaScript | 20 stars | GPL-3.0
94. https://github.com/gopalparashar421/lightweight-charts-python | Python framework for TradingView's Lightweight Charts JavaScript library. | JavaScript | 20 stars | MIT
95. https://github.com/d-zero-dev/frontend-guidelines | D-ZERO Frontend Developer's Guideline | JavaScript | 20 stars | NOASSERTION
96. https://github.com/ichris007/obsidian-share-showcase | 都是个人使用Obsidian中写的或收集的脚本和样式代码 | JavaScript | 20 stars | MIT
97. https://github.com/nextcloud/data_request | :man_judge: Nextcloud app to let users request a data export or account removal | JavaScript | 20 stars | AGPL-3.0
98. https://github.com/JRGTH/xigmanas-bastille-extension |  | JavaScript | 20 stars | BSD-3-Clause
99. https://github.com/aodn/aodn-portal | AODN Open Geospatial Portal | JavaScript | 20 stars | GPL-3.0
100. https://github.com/Funlang/z-data | Z-data is an extremely lightweight zero configuration embedded mini front-end js framework. | JavaScript | 20 stars | MIT
101. https://github.com/jelastic-jps/lets-encrypt | Let’s Encrypt Add-on for Jelastic PaaS | JavaScript | 20 stars | Apache-2.0
102. https://github.com/craigbuckler/publican | simple and fast static site generator | JavaScript | 20 stars | MIT
103. https://github.com/srp33/CodeBuddy | CodeBuddy: A programming assignment management system for short-form exercises | JavaScript | 20 stars | AGPL-3.0
104. https://github.com/Kazi-Aidah/color-table-cells | Obsidian Plugin for Coloring table cells via right-click in Reading mode! | JavaScript | 20 stars | MIT
105. https://github.com/urqw/UrqW | Free and open source text-based game engine in JavaScript. | JavaScript | 20 stars | CC-BY-SA-4.0
106. https://github.com/MateuszDabrowski/diagramforce | Free diagramming solution created with Salesforce Architects in mind | JavaScript | 20 stars | NOASSERTION
107. https://github.com/BzGEO/PACE_OCI_Toolkit | Google Earth Engine (GEE) JavaScript-based tools for working with NASA PACE OCI data | JavaScript | 20 stars | MIT
108. https://github.com/navariltd/Junior-School | Junior School is a custom Frappe application that extends the core Frappe Education. It provides comprehensive tools for scheduling, attendance tracking, assessment management, and automated student lifecycle processes, specifically designed for multi-school environments. | JavaScript | 20 stars | AGPL-3.0
109. https://github.com/valette/desk | DESK exposing server kit : HTML5 solution for remote processing and visualization | JavaScript | 20 stars | NOASSERTION
110. https://github.com/contrastsecurity/contrast | CodeSec by Contrast - The fastest and most accurate SAST scanner. Scan code and serverless environments | JavaScript | 20 stars | MIT
111. https://github.com/sf-cola/select_to_select2 | This is a repository of select to select 2 which is a redmine plugin. | JavaScript | 20 stars | GPL-3.0
112. https://github.com/Radexito/DjManager | Your music library, built for DJs. Import tracks, analyse BPM and key automatically, build playlists, and prepare sets — all offline, all on your machine. | JavaScript | 20 stars | MIT
113. https://github.com/OpenImagingLab/InstantRetouch | [CVPR 2026] InstantRetouch: Efficient and High-Fidelity Instruction-Guided Image Retouching with Bilateral Space | JavaScript | 20 stars | Apache-2.0
114. https://github.com/SeanWong17/Sauropsida-tree | DeepTime Sauropsida：交互式蜥形纲演化树，3D 螺旋序幕 + D3.js 动态时间树，跨越 3 亿年 | Interactive sauropsid phylogeny with 3D spiral intro & D3.js dynamic timetree spanning 300 Myr | JavaScript | 20 stars | NOASSERTION
115. https://github.com/gravitee-io/gravitee-ui-components | 🧱 Set of UI components used across the Gravitee.io ecosystem. | JavaScript | 20 stars | Apache-2.0
116. https://github.com/anvaka/simplegrad | Simple reverse mode automatic differentiation of scalar values in javascript | JavaScript | 20 stars | MIT
117. https://github.com/rhenryw/SPLASH | Secure Proxy for Live Audiovisual SHell- a CLI themed web proxy | JavaScript | 20 stars | AGPL-3.0
118. https://github.com/kongxcer555/codex-skin-builder | A Codex skill for building and customizing Codex skins. | JavaScript | 20 stars | MIT
119. https://github.com/asamuzaK/semverParser | Parse, verify, compare SemVer | JavaScript | 20 stars | MIT
120. https://github.com/Qbix/Platform | Free, open-source community platform, decentralized alternative to Big Tech. For apps that empower people and unite communities. | JavaScript | 20 stars | AGPL-3.0
121. https://github.com/hydroCoderClaud/cc-desktop | Hydro Desktop — A native desktop workspace for Claude Code, with project-based agents, Notebooks, capability management, scheduled tasks, and IM bridges. | JavaScript | 20 stars | NOASSERTION
122. https://github.com/siwei-yuan/bili-pilot | Chrome extension for stable Bilibili CDN routing and adaptive DASH segment pre-caching | JavaScript | 20 stars | MIT
123. https://github.com/GyverLibs/GyverPush | Отправка push-уведомлений с ESP8266/ESP32 | JavaScript | 20 stars | MIT
124. https://github.com/zayokami/GenresFox | A completely open-source, high-performance, and extremely minimalist browser new tab page extension. | JavaScript | 20 stars | MIT
125. https://github.com/NaturalIntelligence/fastify-xml-body-parser | Fastify plugin / module to parse XML payload / body into JS object | JavaScript | 20 stars | MIT
126. https://github.com/Brazzo978/T99W175-simpleadmin |  | JavaScript | 20 stars | NOASSERTION
127. https://github.com/TarekRaafat/skalex | AI-first, zero-dependency JavaScript database. Vector search, agent memory, MCP server, and encryption built in. Node.js, Bun, Deno, browsers, and edge runtimes. | JavaScript | 20 stars | Apache-2.0
128. https://github.com/Apollon77/ioBroker.homekit-controller | Pair and control HomeKit devices directly | TypeScript | 20 stars | MIT
129. https://github.com/avacocloud/avaco-deno |  | TypeScript | 20 stars | NOASSERTION
130. https://github.com/kelani34/depguarder |  | TypeScript | 20 stars | ISC
131. https://github.com/Spritz-Labs/spritz | Spritz is a decentralized, permission-less and censorship resistant chat app for web3. Connect with friends using passkeys or wallets. Make HD video calls, go live to your followers, and chat freely on a decentralized network. | TypeScript | 20 stars | NOASSERTION
132. https://github.com/saihgupr/keyboard-maestro-mcp | An MCP server for Keyboard Maestro. Manage your macros with natural language commands. | TypeScript | 20 stars | MIT
133. https://github.com/kuoruan/verdaccio-openid | 📦🔐 OpenIDConnect plugin for Verdaccio, fork of https://github.com/n4bb12/verdaccio-github-oauth-ui | TypeScript | 20 stars | MIT
134. https://github.com/ziaulhoque24/react-rating-star-with-type | This simple react rating star component with typescript support made by Ziaul Hoque Founder of roktoshare.com | TypeScript | 20 stars | MIT
135. https://github.com/getversive/whisker | AI-powered usability testing CLI | TypeScript | 20 stars | MIT
136. https://github.com/Nexus-Mods/node-nexus-api | Node.js client for the nexusmods.com API | TypeScript | 20 stars | GPL-3.0
137. https://github.com/proof/proof-vc-web | Web Components for Proof Digital Credentials. | TypeScript | 20 stars | Apache-2.0
138. https://github.com/Faceplugin-ltd/FaceRecognition-React-Native | Face recognition React Native Plugin with 3D passive liveness detection (Face Detection, Face Landmarks, Face Recognition, Face Liveness, Face Pose, Face Expression, Face attributes) | TypeScript | 20 stars | MIT
139. https://github.com/JGeek00/crowdsec-monitor-api | REST API server for CrowdSec LAPI | TypeScript | 20 stars | MIT
140. https://github.com/borbiuk/band-play | Multifunctional Chrome/Firefox extension for Bandcamp | TypeScript | 20 stars | MIT
141. https://github.com/kernel/just-html | Agent-first minimal HTML document host. Your agent self-onboards, gets an API key, and publishes HTML to a stable URL — private by default, shareable, with comments & reactions for humans and their agents. | TypeScript | 20 stars | MIT
142. https://github.com/Eigenwise/tesseron | Expose typed web-app actions to MCP-compatible AI agents over WebSocket. TypeScript SDK + matching MCP gateway. | TypeScript | 20 stars | NOASSERTION
143. https://github.com/auguwu/clippy-action | 🐻‍❄️📦 GitHub action to run Clippy, an up-to-date and modern version of actions-rs/clippy | TypeScript | 20 stars | Apache-2.0
144. https://github.com/rosset-nocpes/hikka-features | Extension which enhances hikka.io | TypeScript | 20 stars | MIT
145. https://github.com/rdfjs/types | Authoritative TypeScript typings for all RDFJS specifications | TypeScript | 20 stars | MIT
146. https://github.com/bitflyer-tools/cycle-flyer | :zap: web client for bitFlyer lightning made by Cycle.js | TypeScript | 20 stars | MIT
147. https://github.com/safe-global/safe-events-service | Handle Safe indexing events from Transaction Service and deliver as HTTP webhooks | TypeScript | 20 stars | NOASSERTION
148. https://github.com/nirholas/xspace-AI | TypeScript SDK and CLI for building AI agents that autonomously join, listen, and speak in X/Twitter Spaces. Supports multiple LLM providers (OpenAI, Claude, Groq), speech-to-text (Whisper, Deepgram), text-to-speech (ElevenLabs, OpenAI), multi-agent coordination, middleware pipelines, and a real-time admin dashboard. No Twitter API approval needed  | TypeScript | 20 stars | NOASSERTION
149. https://github.com/clynamic/joi.how | jack-off-instruction stroke-to-the-beat slideshow | TypeScript | 20 stars | GPL-3.0
150. https://github.com/purposewalks9/Hookraft |   Powerful frontend primitives for motion, effects, behavior, async workflows, and modern interactive UI development. | TypeScript | 20 stars | MIT
151. https://github.com/gmaynez/debugssy | AI debugger for VS Code, Cursor, Windsurf | TypeScript | 20 stars | Apache-2.0
152. https://github.com/morganstanley/ts-mocking-bird | A fully type safe mocking, call verification and import replacement library for jasmine and jest | TypeScript | 20 stars | Apache-2.0
153. https://github.com/neopostmodern/structure | Structure is a knowledge management tool | TypeScript | 20 stars | AGPL-3.0
154. https://github.com/titaniumnetwork-dev/Oxide | The official site for TitaniumNetwork, an organization dedicated to providing services related to bypassing internet censorship. Made with NextJS. | TypeScript | 20 stars | AGPL-3.0
155. https://github.com/kainonly/litho | This project is a utility library that deeply encapsulates ng-zorro-antd - based UI components and back-end interfaces, simplifying integration, reducing code redundancy, and boosting development efficiency. | TypeScript | 20 stars | BSD-3-Clause
156. https://github.com/arkemis-labs/puedo | ¿puedo? - Tiny JS Access Control | TypeScript | 20 stars | MIT
157. https://github.com/thib3113/vban | Implement the VBAN protocol in node.js | TypeScript | 20 stars | MIT
158. https://github.com/OneSignal/onesignal-vue3 | OneSignal makes engaging customers simple and is the fastest, most reliable service to send push notifications, in-app messages, SMS, and emails. This plugin makes it easy to integrate your Vue 3 app with OneSignal. https://onesignal.com | TypeScript | 20 stars | NOASSERTION
159. https://github.com/shaharia-lab/mcp-frontend | Frontend for MCP (Model Context Protocol) Kit for Go - A Complete MCP solutions for ready to use | TypeScript | 20 stars | MIT
160. https://github.com/RADAR-base/RADAR-Questionnaire | Questionnaire mobile application (Active App) for RADAR-base | TypeScript | 20 stars | Apache-2.0
161. https://github.com/axa-ch/react-polymorphic-types | Zero-runtime polymorphic component definitions for React | TypeScript | 20 stars | MIT
162. https://github.com/naeem5877/vibedownloader-desktop | Premium Desktop YouTube Downloader with High-Quality Video & Audio Downloads for Windows, macOS, and Linux | TypeScript | 20 stars | NOASSERTION
163. https://github.com/lapic-ufjf/searchat-behavior-api | A standardized framework for capturing authentic human behavior in search and AI-chat experiments. | TypeScript | 20 stars | MIT
164. https://github.com/SECTL/SecScore | 一个简单易用，优雅美观的班级个人积分管理软件。 | TypeScript | 20 stars | GPL-3.0
165. https://github.com/scriptex/react-round-carousel | An infinitely scrollable 3D carousel component for React | TypeScript | 20 stars | MIT
166. https://github.com/runwayml/sdk-node |  | TypeScript | 20 stars | Apache-2.0
167. https://github.com/TIPS-SA/facturacionelectronicapy-setapi | Módulo NodeJS encargado de enviar el Documento electrónico a la SET | TypeScript | 20 stars | MIT
168. https://github.com/espressif/esp-rainmaker-home | ESP RainMaker Home App | TypeScript | 20 stars | Apache-2.0
169. https://github.com/faremeter/interchange | Interchange - An agentic operating system. | TypeScript | 20 stars | LGPL-2.1
170. https://github.com/nearform/lastlight | Self-hostable, MIT Licensed, Enterprise AI Software Factory | TypeScript | 20 stars | MIT
171. https://github.com/fasenderos/bitify | Open Source Trading Platform for building a Blockchain/FinTech cryptocurrency exchange in NodeJS | TypeScript | 20 stars | Apache-2.0
172. https://github.com/MarkusSprunck/ethereum-event-scan | Ethereum event explorer for smart contracts | TypeScript | 20 stars | MIT
173. https://github.com/lifeparticle/SelectStar | ⭐️ Compare GitHub Repositories Based on the Number of Stars and Other Relevant Parameters | TypeScript | 20 stars | MIT
174. https://github.com/hermesloom/theglobalburn | The operating system for the Burning Man culture. | TypeScript | 20 stars | GPL-3.0
175. https://github.com/exdst/jss-astro-public | Sitecore JavaScript Software Development Kit for Astro | TypeScript | 20 stars | Apache-2.0
176. https://github.com/shehza-d/portfolio | Passion Project (Please don't copy design) | TypeScript | 20 stars | GPL-3.0
177. https://github.com/ProfessioneIT/lsp-mcp-server | An MCP (Model Context Protocol) server that bridges Claude Code to Language Server Protocol (LSP) servers, enabling semantic code intelligence capabilities. | TypeScript | 20 stars | MIT
178. https://github.com/vikiboss/v50 | 🍿️ 【持续更新中】一系列高质量 KFC 疯狂星期四文案，已收录 400+ 条，欢迎 PR 贡献 | TypeScript | 20 stars | MIT
179. https://github.com/littlesera/LSCG |  | TypeScript | 20 stars | GPL-3.0
180. https://github.com/zitadel/react-auth | Official Zitadel auth integration for React. | TypeScript | 20 stars | NOASSERTION
181. https://github.com/jatorre/hacienda-cli | CLI para interactuar con la sede electrónica de la AEAT. Sube/descarga declaraciones IRPF en formato XML oficial. | TypeScript | 20 stars | MIT
182. https://github.com/samuelweckstrom/react-dvd-screensaver | DVD-era nostalgia in React. | TypeScript | 20 stars | MIT
183. https://github.com/afterclass-io/afterclass.io | AfterClass supports more than 40,000 students each semester in selecting the ideal modules for their academic path | TypeScript | 20 stars | MIT
184. https://github.com/sogrim/technion-sogrim | Get your degree status in the best possible way 🤓 | TypeScript | 20 stars | MIT
185. https://github.com/rff255/GenesisCA | Free online IDE for code-free Modeling and Simulation of Cellular Automata (CA) and Agents - 2D/3D | TypeScript | 20 stars | GPL-3.0
